AuthorID,Author,Date,Content,Attachments,Reactions
"659929323418943498","_breanna_","08/24/2021 6:47 PM","","",""
"655867288913969162","bananaabread","08/24/2021 6:47 PM","HELLLO","",""
"659929323418943498","_breanna_","08/24/2021 6:47 PM","hello!!!","",""
"659929323418943498","_breanna_","08/24/2021 6:47 PM","are you doing alright?","",""
"655867288913969162","bananaabread","08/24/2021 6:47 PM","Si","",""
"659929323418943498","_breanna_","08/24/2021 6:47 PM","okay, I'm glad to hear that and that you got home safely","",""
"655867288913969162","bananaabread","08/24/2021 6:48 PM","We got Dunkin’ Donuts","",""
"659929323418943498","_breanna_","08/24/2021 6:48 PM","oh i'm so jealous! i love dunkin donuts! what kind of donuts did you get?","",""
"655867288913969162","bananaabread","08/24/2021 6:48 PM","Glazed","",""
"655867288913969162","bananaabread","08/24/2021 6:48 PM","I think that’s how you spell it idk","",""
"659929323418943498","_breanna_","08/24/2021 6:49 PM","yeah, that's how you spell it lol.  that's my fav flavor, that's awesome : )","",""
"655867288913969162","bananaabread","08/24/2021 6:49 PM","Yes, ALSO BUY PERSONA 5 SO WE CAN PKAY IT TOGETHER","",""
"655867288913969162","bananaabread","08/24/2021 6:49 PM","PLAY","",""
"659929323418943498","_breanna_","08/24/2021 6:50 PM","I WILL eventually but I need to stabilize my money situation here first 🥲","",""
"655867288913969162","bananaabread","08/24/2021 6:50 PM","OK","",""
"659929323418943498","_breanna_","08/24/2021 6:50 PM","OK","",""
"655867288913969162","bananaabread","08/24/2021 6:50 PM","ALSO TELL ME WHEN YOU BUY IT","",""
"659929323418943498","_breanna_","08/24/2021 6:51 PM","I promise!","",""
"655867288913969162","bananaabread","08/24/2021 6:51 PM","😡😡😡 or else your crusty","",""
"659929323418943498","_breanna_","08/24/2021 6:51 PM","oh : ( lol","",""
"659929323418943498","_breanna_","08/24/2021 6:51 PM","feel free to message me whenever! I'm a loser and I have no friends so I wont be too busy","",""
"655867288913969162","bananaabread","08/24/2021 6:52 PM","Ok! Also your not a loser 🙄🙄","",""
"659929323418943498","_breanna_","08/24/2021 6:52 PM","thank you for thinking that 🥺","",""
"655867288913969162","bananaabread","08/24/2021 6:52 PM","Your welcome 😋","",""
"655867288913969162","bananaabread","08/24/2021 6:53 PM","I’m going offline now I’m gonna watch YouTube or something","",""
"655867288913969162","bananaabread","08/24/2021 6:53 PM","BYEEEE","",""
"655867288913969162","bananaabread","08/24/2021 6:53 PM","ILYYY","",""
"659929323418943498","_breanna_","08/24/2021 6:53 PM","Ok! Byyyeee! Love you too!!","",""
"655867288913969162","bananaabread","08/28/2021 11:53 PM","BRE","",""
"655867288913969162","bananaabread","08/28/2021 11:53 PM","ANNA","",""
"655867288913969162","bananaabread","08/28/2021 11:54 PM","BREEEEEEANA","",""
"655867288913969162","bananaabread","08/28/2021 11:54 PM","brena","",""
"659929323418943498","_breanna_","08/28/2021 11:54 PM","helloooooooo","",""
"655867288913969162","bananaabread","08/28/2021 11:54 PM","bren","",""
"659929323418943498","_breanna_","08/28/2021 11:54 PM","heello my darling","",""
"655867288913969162","bananaabread","08/28/2021 11:54 PM","Can we start watching persona 5 tomorrow","",""
"655867288913969162","bananaabread","08/28/2021 11:54 PM","THE GAME NOT THE SHOW","",""
"659929323418943498","_breanna_","08/28/2021 11:54 PM","yes, of course!","",""
"655867288913969162","bananaabread","08/28/2021 11:54 PM","Yayyyyy","",""
"659929323418943498","_breanna_","08/28/2021 11:54 PM","did you find a playthrough that you might like?","",""
"655867288913969162","bananaabread","08/28/2021 11:55 PM","No not yet","",""
"659929323418943498","_breanna_","08/28/2021 11:55 PM","okay, I'll look for one too and we'll see what we might like. what time 2morrow?","",""
"655867288913969162","bananaabread","08/28/2021 11:55 PM","I don’t know what time, whenever your free","",""
"655867288913969162","bananaabread","08/28/2021 11:56 PM","DECIDE A TIME BRENA 🤬🤬🤬🤬","",""
"659929323418943498","_breanna_","08/28/2021 11:56 PM","OKAY'","",""
"659929323418943498","_breanna_","08/28/2021 11:56 PM","how about 6pm?","",""
"655867288913969162","bananaabread","08/28/2021 11:56 PM","Okayyy","",""
"659929323418943498","_breanna_","08/28/2021 11:56 PM","okaaayyy see you then!","",""
"655867288913969162","bananaabread","08/28/2021 11:56 PM","We’re gonna call on discord right","",""
"659929323418943498","_breanna_","08/28/2021 11:56 PM","yes!","",""
"655867288913969162","bananaabread","08/28/2021 11:56 PM","MK","",""
"659929323418943498","_breanna_","08/28/2021 11:56 PM","alright! goodnight alexa!","",""
"655867288913969162","bananaabread","08/28/2021 11:57 PM","GOODNIGHT!!","",""
"655867288913969162","bananaabread","08/29/2021 6:00 PM","IT IS 6 PM BRENA","",""
"659929323418943498","_breanna_","08/29/2021 6:01 PM","Im coming! I just need a few minutes to clean the kitchen up if that’s ok","",""
"655867288913969162","bananaabread","08/29/2021 6:01 PM","ok I’ll be waiting","",""
"659929323418943498","_breanna_","08/29/2021 6:01 PM","Ok","",""
"659929323418943498","_breanna_","08/29/2021 6:15 PM","ok, im ready","",""
"655867288913969162","bananaabread","08/29/2021 6:15 PM","Started a call that lasted 71 minutes.","",""
"659929323418943498","_breanna_","09/01/2021 11:16 PM","I can watch more persona tomorrow but probably not til I get back from orientation which could be like 7 or 8pm","",""
"659929323418943498","_breanna_","09/04/2021 2:00 PM","ALEXA","",""
"659929323418943498","_breanna_","09/04/2021 2:06 PM","Whos your fav genshin character","",""
"659929323418943498","_breanna_","09/06/2021 7:03 PM","ready when you are","",""
"655867288913969162","bananaabread","09/06/2021 7:10 PM","OK IM READY","",""
"655867288913969162","bananaabread","09/06/2021 7:11 PM","WIAT","",""
"659929323418943498","_breanna_","09/06/2021 7:11 PM","oh-","",""
"655867288913969162","bananaabread","09/06/2021 7:11 PM","ok ready","",""
"655867288913969162","bananaabread","09/06/2021 7:11 PM","Started a call that lasted 112 minutes.","",""
"655867288913969162","bananaabread","09/06/2021 7:28 PM","A","",""
"655867288913969162","bananaabread","09/06/2021 7:28 PM","B","",""
"655867288913969162","bananaabread","09/06/2021 7:28 PM","C","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","D","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","E","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","F","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","G","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","H","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","I","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","J","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","K","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","L","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","M","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","N","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","O","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","P","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","Q","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","R","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","S","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","T","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","U","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","V","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","W","",""
"655867288913969162","bananaabread","09/06/2021 7:29 PM","X","",""
"655867288913969162","bananaabread","09/06/2021 7:30 PM","Y","",""
"655867288913969162","bananaabread","09/06/2021 7:30 PM","Z","",""
"655867288913969162","bananaabread","09/06/2021 7:32 PM","https://tenor.com/view/kid-scream-no-cry-mad-gif-11222953","",""
"655867288913969162","bananaabread","09/06/2021 7:36 PM","_ 𝔉𝔞𝔯𝔱_","",""
"655867288913969162","bananaabread","09/06/2021 7:41 PM","","https://cdn.discordapp.com/attachments/879859402872606770/884584067595665488/image0.webp,https://cdn.discordapp.com/attachments/879859402872606770/884584067864084522/image1.jpg,https://cdn.discordapp.com/attachments/879859402872606770/884584068182863872/video2.mp4,https://cdn.discordapp.com/attachments/879859402872606770/884584068619067462/image3.jpg,https://cdn.discordapp.com/attachments/879859402872606770/884584068874915840/image4.jpg",""
"655867288913969162","bananaabread","09/06/2021 7:48 PM","","https://cdn.discordapp.com/attachments/879859402872606770/884585848371298314/video0.mov",""
"655867288913969162","bananaabread","09/06/2021 7:48 PM","","https://cdn.discordapp.com/attachments/879859402872606770/884585978461843476/video0.mov",""
"655867288913969162","bananaabread","09/06/2021 8:01 PM","","https://cdn.discordapp.com/attachments/879859402872606770/884589158662832168/video0.mp4",""
"655867288913969162","bananaabread","09/06/2021 8:39 PM","EXPOSED…","https://cdn.discordapp.com/attachments/879859402872606770/884598655678566400/image0.jpg",""
"655867288913969162","bananaabread","09/06/2021 8:40 PM","YES RYUJI","",""
"655867288913969162","bananaabread","09/06/2021 8:40 PM","EXPOSE HIMMMM","",""
"655867288913969162","bananaabread","09/06/2021 8:54 PM","EXPOSEDDDAH","",""
"655867288913969162","bananaabread","09/11/2021 10:52 PM","Yo status say do not disturb well imma disturb you","",""
"655867288913969162","bananaabread","09/11/2021 10:52 PM","HEY","",""
"655867288913969162","bananaabread","09/11/2021 10:52 PM","BREANNAAAAA","",""
