,Unnamed: 0,authorid,author,date,content,spam,word_count,char_count,avg_word,stopwords,hastags,numerics,upper,sentiment
0,1,655867288913969162,bananaabread,08/24/2021 6:47 PM,helllo,0,1,6,6.0,0,0,0,1,0.0
1,4,655867288913969162,bananaabread,08/24/2021 6:47 PM,si,0,1,2,2.0,0,0,0,0,0.0
2,6,655867288913969162,bananaabread,08/24/2021 6:48 PM,got dunkin’ donut,0,4,21,4.5,0,0,0,0,0.0
3,8,655867288913969162,bananaabread,08/24/2021 6:48 PM,glazed,0,1,6,6.0,0,0,0,0,0.0
4,9,655867288913969162,bananaabread,08/24/2021 6:48 PM,think that’s spell,0,8,35,3.5,3,0,0,1,0.0
5,11,655867288913969162,bananaabread,08/24/2021 6:49 PM,"yes, also buy persona 5 pkay together",0,11,50,3.636363636363636,0,0,1,9,0.0
6,12,655867288913969162,bananaabread,08/24/2021 6:49 PM,play,0,1,4,4.0,0,0,0,1,0.0
7,14,655867288913969162,bananaabread,08/24/2021 6:50 PM,,0,1,2,2.0,0,0,0,1,0.0
8,16,655867288913969162,bananaabread,08/24/2021 6:50 PM,also tell buy,0,7,28,3.142857142857143,0,0,0,7,0.0
9,18,655867288913969162,bananaabread,08/24/2021 6:51 PM,😡😡😡 else crusty,0,5,23,3.8,2,0,0,0,0.0
10,21,655867288913969162,bananaabread,08/24/2021 6:52 PM,ok! also loser 🙄🙄,0,7,28,3.142857142857143,3,0,0,0,0.625
11,23,655867288913969162,bananaabread,08/24/2021 6:52 PM,welcome 😋,0,3,14,4.0,0,0,0,0,0.8
12,24,655867288913969162,bananaabread,08/24/2021 6:53 PM,going offline gonna watch youtube something,0,10,58,4.9,2,0,0,0,0.0
13,25,655867288913969162,bananaabread,08/24/2021 6:53 PM,byeeee,0,1,6,6.0,0,0,0,1,0.0
14,26,655867288913969162,bananaabread,08/24/2021 6:53 PM,ilyyy,0,1,5,5.0,0,0,0,1,0.0
15,28,655867288913969162,bananaabread,08/28/2021 11:53 PM,bre,0,1,3,3.0,0,0,0,1,0.0
16,29,655867288913969162,bananaabread,08/28/2021 11:53 PM,anna,0,1,4,4.0,0,0,0,1,0.0
17,30,655867288913969162,bananaabread,08/28/2021 11:54 PM,breeeeeeana,0,1,11,11.0,0,0,0,1,0.0
18,31,655867288913969162,bananaabread,08/28/2021 11:54 PM,,0,1,5,5.0,0,0,0,0,0.0
19,33,655867288913969162,bananaabread,08/28/2021 11:54 PM,bren,0,1,4,4.0,0,0,0,0,0.0
20,35,655867288913969162,bananaabread,08/28/2021 11:54 PM,start watching persona 5 tomorrow,0,7,40,4.857142857142857,1,0,1,0,0.0
21,36,655867288913969162,bananaabread,08/28/2021 11:54 PM,game show,0,5,21,3.4,0,0,0,5,-0.4
22,38,655867288913969162,bananaabread,08/28/2021 11:54 PM,yayyyyy,0,1,7,7.0,0,0,0,0,0.0
23,40,655867288913969162,bananaabread,08/28/2021 11:55 PM,yet,0,3,10,2.6666666666666665,1,0,0,0,0.0
24,42,655867288913969162,bananaabread,08/28/2021 11:55 PM,"don’t know time, whenever free",0,8,42,4.375,2,0,0,1,0.4
25,43,655867288913969162,bananaabread,08/28/2021 11:56 PM,decide time 🤬🤬🤬🤬,0,5,24,4.0,0,0,0,4,0.0
26,46,655867288913969162,bananaabread,08/28/2021 11:56 PM,okayyy,0,1,6,6.0,0,0,0,0,0.0
27,48,655867288913969162,bananaabread,08/28/2021 11:56 PM,we’re gonna discord right,0,6,33,4.666666666666667,1,0,0,0,0.2857142857142857
28,50,655867288913969162,bananaabread,08/28/2021 11:56 PM,mk,0,1,2,2.0,0,0,0,1,0.0
29,52,655867288913969162,bananaabread,08/28/2021 11:57 PM,goodnight!!,0,1,11,11.0,0,0,0,1,0.0
30,53,655867288913969162,bananaabread,08/29/2021 6:00 PM,6 pm,0,5,16,2.4,0,0,1,4,0.0
