,words,tf,idf,tfidf,spam
49,whenever,2.0,5.8377304471659395,11.675460894331879,0
50,free,5.0,4.921439715291784,24.60719857645892,0
51,decide,3.0,5.432265339057776,16.296796017173328,0
52,time,6.0,4.584967478670572,27.509804872023434,0
53,🤬🤬🤬🤬,1.0,6.530877627725885,6.530877627725885,0
54,okayyy,1.0,6.530877627725885,6.530877627725885,0
55,we’re,3.0,5.432265339057776,16.296796017173328,0
56,discord,4.0,4.921439715291784,19.685758861167137,0
57,right,3.0,5.432265339057776,16.296796017173328,0
58,mk,1.0,6.530877627725885,6.530877627725885,0
59,goodnight!!,1.0,6.530877627725885,6.530877627725885,0
60,6,1.0,5.432265339057776,5.432265339057776,0
61,pm,2.0,5.8377304471659395,11.675460894331879,0
62,i’ll,3.0,5.432265339057776,16.296796017173328,0
63,waiting,3.0,5.432265339057776,16.296796017173328,0
64,ready,10.0,4.045970977937885,40.45970977937885,0
65,wiat,1.0,6.530877627725885,6.530877627725885,0
66,b,1.0,2.0310679573956203,2.0310679573956203,0
67,c,2.0,1.678847363806268,3.357694727612536,0
68,e,1.0,0.7378640193417414,0.7378640193417414,0
69,f,2.0,2.4704346171794658,4.9408692343589315,0
70,g,1.0,1.4310111999016868,1.4310111999016868,0
71,h,1.0,1.1837700970084166,1.1837700970084166,0
72,j,1.0,3.697664283669669,3.697664283669669,0
73,k,1.0,1.8674385336138182,1.8674385336138182,0
74,l,2.0,1.3323805964600595,2.664761192920119,0
75,n,1.0,1.0094167098636389,1.0094167098636389,0
76,p,1.0,1.751754134614356,1.751754134614356,0
77,q,1.0,4.132982354927515,4.132982354927515,0
78,r,1.0,1.1059276102444826,1.1059276102444826,0
79,u,9.0,1.568032997465978,14.1122969771938,0
80,v,1.0,2.487826359891335,2.487826359891335,0
81,w,1.0,1.8034898090135447,1.8034898090135447,0
82,x,1.0,4.045970977937885,4.045970977937885,0
83,z,1.0,3.586438648559445,3.586438648559445,0
84,_,1.0,6.530877627725885,6.530877627725885,0
85,𝔉𝔞𝔯𝔱_,1.0,6.530877627725885,6.530877627725885,0
86,exposed…,1.0,6.530877627725885,6.530877627725885,0
87,ryuji,1.0,6.530877627725885,6.530877627725885,0
88,expose,1.0,5.432265339057776,5.432265339057776,0
89,himmmm,1.0,6.530877627725885,6.530877627725885,0
90,exposedddah,1.0,6.530877627725885,6.530877627725885,0
91,disturb,2.0,6.530877627725885,13.06175525545177,0
92,yo,3.0,3.8228274266236753,11.468482279871026,0
93,status,1.0,6.530877627725885,6.530877627725885,0
94,say,4.0,4.73911815849783,18.95647263399132,0
95,well,3.0,5.432265339057776,16.296796017173328,0
96,imma,4.0,5.144583266605995,20.57833306642398,0
97,hey,1.0,5.432265339057776,5.432265339057776,0
98,breannaaaaa,1.0,6.530877627725885,6.530877627725885,0
99,answer,4.0,4.921439715291784,19.685758861167137,0
100,racist,1.0,6.530877627725885,6.530877627725885,0
101,hello,4.0,5.144583266605995,20.57833306642398,0
102,guess,2.0,5.8377304471659395,11.675460894331879,0
103,happend,1.0,6.530877627725885,6.530877627725885,0
104,school,5.0,4.921439715291784,24.60719857645892,0
105,people,3.0,5.432265339057776,16.296796017173328,0
106,use,1.0,4.584967478670572,4.584967478670572,0
107,computer,4.0,4.921439715291784,19.685758861167137,0
108,someone,4.0,5.144583266605995,20.57833306642398,0
109,forgot,3.0,5.432265339057776,16.296796017173328,0
110,log,2.0,5.432265339057776,10.864530678115552,0
111,chromebook,1.0,6.530877627725885,6.530877627725885,0
112,another,1.0,6.530877627725885,6.530877627725885,0
113,person,2.0,4.45143608604605,8.9028721720921,0
114,used,2.0,5.8377304471659395,11.675460894331879,0
115,"it,",1.0,6.530877627725885,6.530877627725885,0
116,went,4.0,5.144583266605995,20.57833306642398,0
117,onto,1.0,6.530877627725885,6.530877627725885,0
118,account,2.0,5.8377304471659395,11.675460894331879,0
119,wasn’t,1.0,6.530877627725885,6.530877627725885,0
120,logged,1.0,6.530877627725885,6.530877627725885,0
121,said,11.0,4.22829253473184,46.51121788205024,0
122,google,1.0,6.530877627725885,6.530877627725885,0
123,classroom,1.0,6.530877627725885,6.530877627725885,0
124,cuss,1.0,6.530877627725885,6.530877627725885,0
125,okay,5.0,4.73911815849783,23.695590792489153,0
126,dont,3.0,5.432265339057776,16.296796017173328,0
127,nobody,1.0,6.530877627725885,6.530877627725885,0
128,fuck,1.0,5.8377304471659395,5.8377304471659395,0
129,botched,1.0,6.530877627725885,6.530877627725885,0
130,class,2.0,5.432265339057776,10.864530678115552,0
131,bitch,1.0,6.530877627725885,6.530877627725885,0
132,wasnt,2.0,5.8377304471659395,11.675460894331879,0
133,crazy,3.0,5.432265339057776,16.296796017173328,0
134,friend,4.0,4.921439715291784,19.685758861167137,0
135,told,3.0,5.432265339057776,16.296796017173328,0
136,teacher,3.0,5.432265339057776,16.296796017173328,0
137,started,1.0,6.530877627725885,6.530877627725885,0
138,saying,2.0,5.8377304471659395,11.675460894331879,0
139,“make,1.0,6.530877627725885,6.530877627725885,0
140,sure,2.0,5.8377304471659395,11.675460894331879,0
141,done,4.0,5.144583266605995,20.57833306642398,0
142,using,1.0,6.530877627725885,6.530877627725885,0
143,computers”,1.0,6.530877627725885,6.530877627725885,0
144,kinda,1.0,6.530877627725885,6.530877627725885,0
145,funny,1.0,6.530877627725885,6.530877627725885,0
146,tho,1.0,4.921439715291784,4.921439715291784,0
147,samee,1.0,6.530877627725885,6.530877627725885,0
148,go,10.0,2.541893581161611,25.41893581161611,0
149,bed,1.0,6.530877627725885,6.530877627725885,0
150,get,9.0,4.045970977937885,36.413738801440964,0
151,trouble,1.0,6.530877627725885,6.530877627725885,0
152,monday,1.0,6.530877627725885,6.530877627725885,0
153,goodnight,1.0,5.432265339057776,5.432265339057776,0
154,ilyt,1.0,6.530877627725885,6.530877627725885,0
155,wanna,5.0,4.921439715291784,24.60719857645892,0
156,😫😫😫,1.0,6.530877627725885,6.530877627725885,0
157,text,1.0,6.530877627725885,6.530877627725885,0
158,late,1.0,6.530877627725885,6.530877627725885,0
159,guy,5.0,4.921439715291784,24.60719857645892,0
160,talking,3.0,5.432265339057776,16.296796017173328,0
161,😮😮😮,1.0,6.530877627725885,6.530877627725885,0
162,ooohhhh,1.0,6.530877627725885,6.530877627725885,0
163,still,2.0,5.8377304471659395,11.675460894331879,0
164,course,1.0,6.530877627725885,6.530877627725885,0
165,duh,1.0,6.530877627725885,6.530877627725885,0
166,ye,1.0,3.235040761721556,3.235040761721556,0
167,breanna,3.0,4.584967478670572,13.754902436011717,0
168,answerrr,1.0,6.530877627725885,6.530877627725885,0
169,omg,2.0,5.8377304471659395,11.675460894331879,0
170,responded,1.0,6.530877627725885,6.530877627725885,0
171,8th,2.0,5.8377304471659395,11.675460894331879,0
172,grader,1.0,6.530877627725885,6.530877627725885,0
173,roosevelt,1.0,6.530877627725885,6.530877627725885,0
174,throwing,1.0,6.530877627725885,6.530877627725885,0
175,hand,1.0,6.530877627725885,6.530877627725885,0
176,look,4.0,4.921439715291784,19.685758861167137,0
177,ikr,1.0,6.530877627725885,6.530877627725885,0
178,devious,1.0,6.530877627725885,6.530877627725885,0
179,lick,1.0,6.530877627725885,6.530877627725885,0
180,steal,1.0,6.530877627725885,6.530877627725885,0
181,caught,2.0,5.8377304471659395,11.675460894331879,0
182,soap,1.0,6.530877627725885,6.530877627725885,0
183,boy,4.0,5.144583266605995,20.57833306642398,0
184,bathroom,1.0,6.530877627725885,6.530877627725885,0
185,lolll,1.0,6.530877627725885,6.530877627725885,0
186,science,1.0,6.530877627725885,6.530877627725885,0
187,gave,1.0,6.530877627725885,6.530877627725885,0
188,y,1.0,1.4494732627414222,1.4494732627414222,0
189,🙄🙄🙄,1.0,6.530877627725885,6.530877627725885,0
190,uncultured,1.0,6.530877627725885,6.530877627725885,0
191,🙄🙄😒😒,1.0,6.530877627725885,6.530877627725885,0
192,pop,1.0,6.530877627725885,6.530877627725885,0
193,ph,1.0,3.9659282702643486,3.9659282702643486,0
194,god,3.0,5.144583266605995,15.433749799817985,0
195,wont,1.0,6.530877627725885,6.530877627725885,0
196,let,6.0,4.584967478670572,27.509804872023434,0
197,send,5.0,4.921439715291784,24.60719857645892,0
198,video,3.0,5.432265339057776,16.296796017173328,0
199,message,2.0,5.8377304471659395,11.675460894331879,0
200,it’s,6.0,4.921439715291784,29.528638291750706,0
201,pretty,1.0,6.530877627725885,6.530877627725885,0
202,cool,2.0,5.8377304471659395,11.675460894331879,0
203,whateva,1.0,6.530877627725885,6.530877627725885,0
204,wath,1.0,6.530877627725885,6.530877627725885,0
205,😈😈😈,1.0,6.530877627725885,6.530877627725885,0
206,lmaoo,1.0,5.8377304471659395,5.8377304471659395,0
207,banana,1.0,6.530877627725885,6.530877627725885,0
208,6:30,1.0,6.530877627725885,6.530877627725885,0
209,approaching,1.0,6.530877627725885,6.530877627725885,0
210,math,1.0,6.530877627725885,6.530877627725885,0
211,quiz,1.0,6.530877627725885,6.530877627725885,0
212,scaredddd,1.0,6.530877627725885,6.530877627725885,0
213,😭😭,1.0,5.432265339057776,5.432265339057776,0
214,dad,5.0,4.921439715291784,24.60719857645892,0
215,find,1.0,6.530877627725885,6.530877627725885,0
216,aww,1.0,5.432265339057776,5.432265339057776,0
217,noo,1.0,5.8377304471659395,5.8377304471659395,0
218,case,1.0,6.530877627725885,6.530877627725885,0
219,instrument,1.0,6.530877627725885,6.530877627725885,0
220,suitcase,1.0,6.530877627725885,6.530877627725885,0
221,awww,1.0,6.530877627725885,6.530877627725885,0
222,ily,1.0,5.144583266605995,5.144583266605995,0
223,💗💗💗,2.0,5.8377304471659395,11.675460894331879,0
224,danielle,1.0,6.530877627725885,6.530877627725885,0
225,getting,1.0,6.530877627725885,6.530877627725885,0
226,hope,2.0,5.8377304471659395,11.675460894331879,0
227,retake,1.0,6.530877627725885,6.530877627725885,0
228,bad,2.0,5.8377304471659395,11.675460894331879,0
229,yesh,1.0,6.530877627725885,6.530877627725885,0
230,shes,2.0,5.432265339057776,10.864530678115552,0
231,everything,1.0,6.530877627725885,6.530877627725885,0
232,one,9.0,3.12968024606373,28.167122214573567,0
233,ear,1.0,4.584967478670572,4.584967478670572,0
234,yeahh,1.0,6.530877627725885,6.530877627725885,0
235,kahoot,1.0,6.530877627725885,6.530877627725885,0
236,sooo,1.0,5.8377304471659395,5.8377304471659395,0
237,yea,1.0,4.921439715291784,4.921439715291784,0
238,believe,1.0,6.530877627725885,6.530877627725885,0
239,succeed,1.0,6.530877627725885,6.530877627725885,0
240,goodnightt,1.0,6.530877627725885,6.530877627725885,0
241,would,4.0,5.432265339057776,21.729061356231103,0
242,dear,1.0,6.530877627725885,6.530877627725885,0
243,"sister,",2.0,5.8377304471659395,11.675460894331879,0
244,art,2.0,4.333653050389666,8.667306100779332,0
245,thee,5.0,5.144583266605995,25.722916333029975,0
246,losing,1.0,6.530877627725885,6.530877627725885,0
247,thy,1.0,5.8377304471659395,5.8377304471659395,0
248,mind,1.0,5.8377304471659395,5.8377304471659395,0
249,mine,1.0,5.8377304471659395,5.8377304471659395,0
250,distemperate,1.0,6.530877627725885,6.530877627725885,0
251,blinking,1.0,6.530877627725885,6.530877627725885,0
252,idiot,1.0,6.530877627725885,6.530877627725885,0
253,maury,1.0,6.530877627725885,6.530877627725885,0
254,dusty,1.0,6.530877627725885,6.530877627725885,0
255,meant,1.0,6.530877627725885,6.530877627725885,0
256,type,2.0,5.8377304471659395,11.675460894331879,0
257,musty,1.0,6.530877627725885,6.530877627725885,0
258,already,2.0,5.8377304471659395,11.675460894331879,0
259,job,3.0,5.432265339057776,16.296796017173328,0
260,stresseth,1.0,6.530877627725885,6.530877627725885,0
261,receiveth,1.0,6.530877627725885,6.530877627725885,0
262,home,3.0,5.144583266605995,15.433749799817985,0
263,smasheth,1.0,6.530877627725885,6.530877627725885,0
264,bros,2.0,5.8377304471659395,11.675460894331879,0
265,hast,1.0,6.530877627725885,6.530877627725885,0
266,worry,1.0,6.530877627725885,6.530877627725885,0
267,grindeth,1.0,6.530877627725885,6.530877627725885,0
268,loveth,1.0,6.530877627725885,6.530877627725885,0
269,fight,2.0,5.432265339057776,10.864530678115552,0
270,bus,1.0,6.530877627725885,6.530877627725885,0
271,recording,3.0,5.432265339057776,16.296796017173328,0
272,actually,3.0,5.432265339057776,16.296796017173328,0
273,good,7.0,4.045970977937885,28.321796845565196,0
274,oh,5.0,4.73911815849783,23.695590792489153,0
275,way,1.0,5.144583266605995,5.144583266605995,0
276,bys,1.0,6.530877627725885,6.530877627725885,0
277,driver,1.0,6.530877627725885,6.530877627725885,0
278,separate,1.0,6.530877627725885,6.530877627725885,0
279,lmaooo,1.0,6.530877627725885,6.530877627725885,0
280,friday,3.0,5.432265339057776,16.296796017173328,0
281,yw,3.0,4.921439715291784,14.764319145875353,0
282,pls,3.0,6.530877627725885,19.592632883177654,0
283,weekend,3.0,5.432265339057776,16.296796017173328,0
284,take,5.0,4.73911815849783,23.695590792489153,0
285,long,2.0,5.8377304471659395,11.675460894331879,0
286,respond,3.0,4.921439715291784,14.764319145875353,0
287,girlie,1.0,6.530877627725885,6.530877627725885,0
288,wait,6.0,4.333653050389666,26.001918302337995,0
289,always,1.0,6.530877627725885,6.530877627725885,0
290,😫,1.0,5.8377304471659395,5.8377304471659395,0
291,nope,2.0,5.8377304471659395,11.675460894331879,0
292,okk,1.0,6.530877627725885,6.530877627725885,0
293,7:29,1.0,6.530877627725885,6.530877627725885,0
294,brenaaaaa,1.0,5.8377304471659395,5.8377304471659395,0
295,thou,1.0,5.144583266605995,5.144583266605995,0
296,phone,8.0,4.22829253473184,33.82634027785472,0
297,mom,3.0,5.144583266605995,15.433749799817985,0
298,kenisha,1.0,6.530877627725885,6.530877627725885,0
299,yk,1.0,6.530877627725885,6.530877627725885,0
300,load,1.0,6.530877627725885,6.530877627725885,0
301,talk,4.0,4.584967478670572,18.33986991468229,0
302,soooo,1.0,6.530877627725885,6.530877627725885,0
303,turn,2.0,5.8377304471659395,11.675460894331879,0
304,caption,1.0,6.530877627725885,6.530877627725885,0
305,goofy,2.0,5.8377304471659395,11.675460894331879,0
306,you’re*,1.0,5.432265339057776,5.432265339057776,0
307,correctly,1.0,6.530877627725885,6.530877627725885,0
308,🙄,3.0,4.73911815849783,14.21735447549349,0
309,gotta,1.0,6.530877627725885,6.530877627725885,0
310,speak,1.0,6.530877627725885,6.530877627725885,0
311,quiet,1.0,6.530877627725885,6.530877627725885,0
312,microphone,1.0,6.530877627725885,6.530877627725885,0
313,volume,1.0,6.530877627725885,6.530877627725885,0
314,new,1.0,6.530877627725885,6.530877627725885,0
315,headphone,1.0,6.530877627725885,6.530877627725885,0
316,cant,3.0,5.144583266605995,15.433749799817985,0
317,joker,1.0,6.530877627725885,6.530877627725885,0
318,leaving,5.0,5.144583266605995,25.722916333029975,0
319,rest,1.0,5.432265339057776,5.432265339057776,0
320,group,1.0,6.530877627725885,6.530877627725885,0
321,pinocchio,1.0,6.530877627725885,6.530877627725885,0
322,nose,1.0,6.530877627725885,6.530877627725885,0
323,💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯,1.0,6.530877627725885,6.530877627725885,0
324,lettuce,1.0,6.530877627725885,6.530877627725885,0
325,pause,1.0,6.530877627725885,6.530877627725885,0
326,vid,1.0,5.144583266605995,5.144583266605995,0
327,important,2.0,5.8377304471659395,11.675460894331879,0
328,ask,2.0,5.432265339057776,10.864530678115552,0
329,rn,3.0,4.584967478670572,13.754902436011717,0
330,wrong.,1.0,6.530877627725885,6.530877627725885,0
331,yes,1.0,4.584967478670572,4.584967478670572,0
332,switch,2.0,5.8377304471659395,11.675460894331879,0
333,never,2.0,5.144583266605995,10.28916653321199,0
334,truth,1.0,6.530877627725885,6.530877627725885,0
335,amogus,1.0,6.530877627725885,6.530877627725885,0
336,hiiii,1.0,4.45143608604605,4.45143608604605,0
337,byeee,1.0,5.432265339057776,5.432265339057776,0
338,🥭,1.0,6.530877627725885,6.530877627725885,0
339,🍧i,1.0,6.530877627725885,6.530877627725885,0
340,want,7.0,4.73911815849783,33.17382710948481,0
341,eat,4.0,4.921439715291784,19.685758861167137,0
342,emoji,2.0,5.8377304471659395,11.675460894331879,0
343,wheres,1.0,6.530877627725885,6.530877627725885,0
344,kamoshida,5.0,4.921439715291784,24.60719857645892,0
345,hiding,1.0,6.530877627725885,6.530877627725885,0
346,no??,1.0,1.0094167098636389,1.0094167098636389,0
347,make,3.0,5.144583266605995,15.433749799817985,0
348,noelle,1.0,6.530877627725885,6.530877627725885,0
349,kill,1.0,6.530877627725885,6.530877627725885,0
350,search,1.0,6.530877627725885,6.530877627725885,0
351,999k,1.0,6.530877627725885,6.530877627725885,0
352,mi,3.0,3.535145354171894,10.605436062515682,0
353,try,3.0,4.921439715291784,14.764319145875353,0
354,route,2.0,5.8377304471659395,11.675460894331879,0
355,okurr,2.0,5.8377304471659395,11.675460894331879,0
356,slaves???,1.0,,,0
357,racially,1.0,,,0
358,motivated,1.0,,,0
359,gasp,1.0,,,0
360,oop,1.0,,,0
361,summoning,1.0,,,0
362,demon,1.0,,,0
363,candle,1.0,,,0
364,burn,1.0,,,0
365,whole,1.0,,,0
366,room,3.0,,,0
367,run,1.0,,,0
368,fire,1.0,,,0
369,drop,1.0,,,0
370,roll,1.0,,,0
371,drink,2.0,,,0
372,yoshi,1.0,,,0
373,fart,1.0,,,0
374,milk,1.0,,,0
375,slayed,2.0,,,0
376,😍😍😍,1.0,,,0
377,arrested,1.0,,,0
378,aint,1.0,,,0
379,therapy,1.0,,,0
380,love,2.0,,,0
381,tooo,1.0,,,0
382,hut,1.0,,,0
383,rlly,3.0,,,0
384,hard,2.0,,,0
385,but*,1.0,,,0
386,keep,2.0,,,0
387,dying,1.0,,,0
388,breanna.,1.0,,,0
389,iiiii,1.0,,,0
390,achieved,1.0,,,0
391,victory,1.0,,,0
392,breanaaaaaaa,1.0,,,0
393,nothing,2.0,,,0
394,jsut,1.0,,,0
395,reminded,1.0,,,0
396,fun,7.0,,,0
397,climbing,1.0,,,0
398,dunns,1.0,,,0
399,river,1.0,,,0
400,fall,1.0,,,0
401,ate,2.0,,,0
402,food,1.0,,,0
403,beach,1.0,,,0
404,staying,1.0,,,0
405,resort,1.0,,,0
406,auntie,3.0,,,0
407,jackie’s,1.0,,,0
408,house,3.0,,,0
409,today,7.0,,,0
410,cassidy,1.0,,,0
411,loud,1.0,,,0
412,susie,1.0,,,0
413,she’s,3.0,,,0
414,doesn’t,1.0,,,0
415,alone,1.0,,,0
416,making,2.0,,,0
417,leave,2.0,,,0
418,jackies,1.0,,,0
419,outside,2.0,,,0
420,hot,1.0,,,0
421,ewww,1.0,,,0
422,youre,2.0,,,0
423,gross,1.0,,,0
424,hi,7.0,,,0
425,living,1.0,,,0
426,life,2.0,,,0
427,havent,1.0,,,0
428,anything,2.0,,,0
429,shower,1.0,,,0
430,fan,1.0,,,0
431,isnt,2.0,,,0
432,helping,1.0,,,0
433,heat,1.0,,,0
434,14,1.0,,,0
435,ive,1.0,,,0
436,many,1.0,,,0
437,cooking,1.0,,,0
438,naur,4.0,,,0
439,government,1.0,,,0
440,agent,1.0,,,0
441,saking,1.0,,,0
442,much,3.0,,,0
443,aking,1.0,,,0
444,asking,1.0,,,0
445,question,1.0,,,0
446,even,6.0,,,0
447,need,3.0,,,0
448,though,2.0,,,0
449,sleep,1.0,,,0
450,you’re,2.0,,,0
451,3:12,1.0,,,0
452,amazing,2.0,,,0
453,day,3.0,,,0
454,remember,2.0,,,0
455,date,1.0,,,0
456,ago,1.0,,,0
457,enjoyed,1.0,,,0
458,gn,2.0,,,0
459,line,1.0,,,0
460,sang,1.0,,,0
461,song,1.0,,,0
462,duet,1.0,,,0
463,dorothy,1.0,,,0
464,called,3.0,,,0
465,rainbow,2.0,,,0
466,reprise,2.0,,,0
467,shhh,1.0,,,0
468,https://m.youtube.com/watch?v=-pelkbsgo4a,1.0,,,0
469,😌👌,1.0,,,0
470,yessir,1.0,,,0
471,thing,6.0,,,0
472,dvd,1.0,,,0
473,💞,1.0,,,0
474,best,1.0,,,0
475,opinion,1.0,,,0
476,number,3.0,,,0
477,1,1.0,,,0
478,thursday,1.0,,,0
479,2,2.0,,,0
480,3,2.0,,,0
481,diddnt,1.0,,,0
482,give,2.0,,,0
483,vibe,1.0,,,0
484,goodbye,2.0,,,0
485,pfp,1.0,,,0
486,changing,1.0,,,0
487,mr,1.0,,,0
488,wolf,1.0,,,0
489,cuz,4.0,,,0
490,willl,1.0,,,0
491,year,2.0,,,0
492,bought,1.0,,,0
493,email,1.0,,,0
494,didnt,6.0,,,0
495,he'll,1.0,,,0
496,edric,1.0,,,0
497,minute,2.0,,,0
498,mama,2.0,,,0
499,happened,2.0,,,1
500,heyy,1.0,,,1
501,youll,1.0,,,0
502,creep,1.0,,,0
503,risk,1.0,,,0
504,misunderstanding,1.0,,,0
505,sorry,1.0,,,0
506,you.,1.0,,,0
507,blocking,1.0,,,0
508,explain,1.0,,,0
509,anyways,1.0,,,0
510,see.,1.0,,,0
511,#shame,1.0,,,0
512,ummm,1.0,,,1
513,check,3.0,,,0
514,https://discord.gg/cuq2pg3ezb,1.0,,,0
515,fuck?,1.0,,,0
516,stuff,1.0,,,0
517,*\*\*\*,1.0,,,0
518,erm,1.0,,,0
519,girl,2.0,,,0
520,sent,1.0,,,1
521,avatar,1.0,,,1
522,name,2.0,,,1
523,really,4.0,,,1
524,friendslist.,1.0,,,0
525,offended,1.0,,,0
526,shh,1.0,,,0
527,🤫,1.0,,,0
528,theyre,1.0,,,0
529,kitchen,1.0,,,0
530,um,3.0,,,0
531,brain,1.0,,,0
532,power,1.0,,,0
533,harder,1.0,,,0
534,white,1.0,,,0
535,haired,1.0,,,0
536,gojo,1.0,,,0
537,24/7,1.0,,,0
538,second,1.0,,,0
539,4:35,1.0,,,0
540,gimme,1.0,,,0
541,lied,1.0,,,0
542,9,1.0,,,0
543,hola,3.0,,,0
544,stop,6.0,,,0
545,panic,1.0,,,0
546,disco,1.0,,,0
547,trying,2.0,,,0
548,hii,1.0,,,0
549,hiiiiiii,2.0,,,0
550,hiiiiiiiii,1.0,,,0
551,minecraft,1.0,,,0
552,ketchup,1.0,,,0
553,mustard,1.0,,,0
554,fighting,1.0,,,0
555,🤔,1.0,,,0
556,brenaa,1.0,,,0
557,pick,2.0,,,0
558,see,2.0,,,0
559,online,1.0,,,0
560,hide,1.0,,,0
561,🤨🤨🤨,1.0,,,0
562,tought,1.0,,,0
563,walk,1.0,,,0
564,bye,3.0,,,0
565,either,2.0,,,0
566,bruh,2.0,,,0
567,air,1.0,,,0
568,sits,2.0,,,0
569,kai,1.0,,,0
570,🤖,1.0,,,0
571,byee,1.0,,,0
572,he,2.0,,,0
573,litteraly,1.0,,,0
574,shackle,1.0,,,0
575,college,1.0,,,0
576,grade,1.0,,,0
577,exactly,1.0,,,0
578,dumb,1.0,,,0
579,cal,1.0,,,0
580,hiiiiiiii,2.0,,,0
581,50,1.0,,,0
582,old,1.0,,,0
583,man,2.0,,,0
584,fix,1.0,,,0
585,posture,1.0,,,0
586,hiiiiiiiiiiiiii,1.0,,,0
587,card,1.0,,,0
588,role,1.0,,,0
589,taking,1.0,,,0
590,beanie,3.0,,,0
591,hufflepuff,1.0,,,0
592,sad,3.0,,,0
593,seeing,1.0,,,0
594,everyone,2.0,,,0
595,gang,1.0,,,0
596,miley,1.0,,,0
597,jumpher,1.0,,,0
598,astonished,1.0,,,0
599,smart,1.0,,,0
600,mixed,1.0,,,0
601,high,1.0,,,0
602,student,1.0,,,0
603,murderer,1.0,,,0
604,finesse,1.0,,,0
605,come,4.0,,,0
606,back,2.0,,,0
607,gaslighter,1.0,,,0
608,awwewewee,1.0,,,0
609,giving,1.0,,,0
610,star,1.0,,,0
611,hotel,2.0,,,0
612,hiiiiiiiiiiii,1.0,,,0
613,wuv,1.0,,,0
614,❤️,1.0,,,0
615,brenaaaaaaaaaaaa,1.0,,,0
616,thats,3.0,,,0
617,nooooooo,1.0,,,0
618,without,1.0,,,0
619,😔,2.0,,,0
620,lmlamammalmlamalma,1.0,,,0
621,small,1.0,,,0
622,place,2.0,,,0
623,soul,1.0,,,0
624,deserve,1.0,,,0
625,byeeeeeee,1.0,,,0
626,u(uouuuouou,1.0,,,0
627,khhhkkhshsv,1.0,,,0
628,wow,1.0,,,0
629,papi,1.0,,,0
630,rid,1.0,,,0
631,happy,1.0,,,0
632,borthdayayya,1.0,,,0
633,uneventful,1.0,,,0
634,🥱,1.0,,,0
635,act,1.0,,,0
636,nice,1.0,,,0
637,first,1.0,,,0
638,m,1.0,,,0
639,patel,1.0,,,0
640,🎉,1.0,,,0
641,idea,2.0,,,0
642,wowwwww,1.0,,,0
643,queen,1.0,,,0
644,elizabeth,1.0,,,0
645,real,1.0,,,0
646,slow,1.0,,,0
647,em,1.0,,,0
648,ever,1.0,,,0
